date,Room Number,T_Occupancy,T_time,Camera1,Camera2,Camera3
30-03-2022,M1 Room,1,14:38:59,0,1,0
30-03-2022,M1 Room,1,14:39:16,0,1,0
30-03-2022,M1 Room,3,14:48:00,1,1,1
30-03-2022,M1 Room,3,14:48:19,1,1,1
30-03-2022,M1 Room,1,14:56:57,0,1,0
30-03-2022,M1 Room,1,14:57:00,0,1,0
30-03-2022,M1 Room,1,14:57:06,0,1,0
30-03-2022,M1 Room,1,14:57:20,0,1,0
30-03-2022,M1 Room,1,14:57:33,0,1,0
30-03-2022,M1 Room,1,14:57:47,0,1,0
30-03-2022,M1 Room,1,14:57:52,0,1,0
30-03-2022,M1 Room,1,14:57:57,0,1,0
30-03-2022,M1 Room,1,15:00:25,0,1,0
30-03-2022,M1 Room,1,15:00:30,0,1,0
30-03-2022,M1 Room,1,15:00:41,0,1,0
30-03-2022,M1 Room,1,15:03:56,0,1,0
30-03-2022,M1 Room,1,15:04:02,0,1,0
30-03-2022,M1 Room,1,15:04:12,0,1,0
30-03-2022,M1 Room,5,15:06:09,1,2,2
30-03-2022,M1 Room,2,15:06:45,0,1,1
30-03-2022,M1 Room,4,15:07:29,1,1,2
30-03-2022,M1 Room,5,15:07:56,1,2,2
30-03-2022,M1 Room,2,15:10:39,0,1,1
30-03-2022,M1 Room,1,15:10:51,0,1,0
30-03-2022,M1 Room,5,15:29:06,0,3,2
30-03-2022,M1 Room,4,15:29:18,0,3,1
30-03-2022,M1 Room,5,15:30:52,0,3,2
30-03-2022,M1 Room,5,15:35:56,1,3,1
30-03-2022,M1 Room,1,15:42:26,0,1,0
30-03-2022,M1 Room,1,15:42:39,0,1,0
30-03-2022,M1 Room,3,15:42:39,1,2,0
30-03-2022,M1 Room,2,15:42:46,1,1,0
30-03-2022,M1 Room,4,15:42:49,1,2,1
30-03-2022,M1 Room,2,15:42:52,1,1,0
30-03-2022,M1 Room,1,15:43:07,0,1,0
30-03-2022,M1 Room,3,15:43:07,0,2,1
30-03-2022,M1 Room,1,15:43:15,0,1,0
30-03-2022,M1 Room,4,15:43:38,1,2,1
30-03-2022,M1 Room,2,15:43:47,1,1,0
30-03-2022,M1 Room,3,15:43:49,2,1,0
30-03-2022,M1 Room,2,15:44:08,1,1,0
30-03-2022,M1 Room,2,15:44:13,1,1,0
30-03-2022,M1 Room,3,15:44:15,1,1,1
30-03-2022,M1 Room,2,15:44:31,1,1,0
30-03-2022,M1 Room,3,15:44:32,1,2,0
30-03-2022,M1 Room,2,15:44:42,1,1,0
30-03-2022,M1 Room,2,15:44:47,1,1,0
30-03-2022,M1 Room,2,15:45:08,1,1,0
30-03-2022,M1 Room,2,15:45:13,1,1,0
30-03-2022,M1 Room,2,15:45:14,1,1,0
30-03-2022,M1 Room,3,15:45:19,1,2,0
30-03-2022,M1 Room,2,15:45:20,1,1,0
30-03-2022,M1 Room,1,15:45:25,0,1,0
30-03-2022,M1 Room,2,15:45:42,1,1,0
30-03-2022,M1 Room,2,15:45:50,1,1,0
30-03-2022,M1 Room,2,15:46:14,1,1,0
30-03-2022,M1 Room,2,15:46:22,1,1,0
30-03-2022,M1 Room,4,15:46:26,2,2,0
30-03-2022,M1 Room,2,15:46:29,1,1,0
30-03-2022,M1 Room,5,15:46:33,2,3,0
30-03-2022,M1 Room,2,15:46:36,1,1,0
30-03-2022,M1 Room,2,15:46:40,1,1,0
30-03-2022,M1 Room,2,15:46:48,1,1,0
30-03-2022,M1 Room,2,15:46:55,1,1,0
30-03-2022,M1 Room,6,15:46:58,3,2,1
30-03-2022,M1 Room,2,15:47:08,1,1,0
30-03-2022,M1 Room,2,15:47:19,1,1,0
30-03-2022,M1 Room,2,15:47:28,1,1,0
30-03-2022,M1 Room,4,15:47:57,2,1,1
30-03-2022,M1 Room,1,9:38:36,0,1,0
30-03-2022,M1 Room,1,9:38:36,1,0,0
30-03-2022,M1 Room,2,9:38:41,0,2,0
30-03-2022,M1 Room,1,9:38:42,0,1,0
30-03-2022,M1 Room,0,9:38:44,0,0,0
30-03-2022,M1 Room,1,9:38:46,0,1,0
30-03-2022,M1 Room,1,9:38:49,0,0,1
30-03-2022,M1 Room,1,9:38:49,0,1,0
30-03-2022,M1 Room,2,9:38:54,1,0,1
30-03-2022,M1 Room,2,9:40:54,1,1,0
30-03-2022,M1 Room,2,9:40:58,1,1,0
30-03-2022,M1 Room,1,9:40:58,1,0,0
30-03-2022,M1 Room,1,9:41:15,0,1,0
30-03-2022,M1 Room,1,9:41:19,0,1,0
30-03-2022,M1 Room,2,9:41:20,2,0,0
30-03-2022,M1 Room,2,9:41:26,0,2,0
30-03-2022,M1 Room,1,9:41:30,1,0,0
30-03-2022,M1 Room,1,9:42:30,0,1,0
30-03-2022,M1 Room,1,9:42:32,0,1,0
30-03-2022,M1 Room,1,9:42:36,0,1,0
30-03-2022,M1 Room,0,9:42:38,0,0,0
30-03-2022,M1 Room,1,9:44:15,0,1,0
30-03-2022,M1 Room,3,9:44:16,1,0,2
30-03-2022,M1 Room,1,9:44:17,0,1,0
30-03-2022,M1 Room,0,9:44:21,0,0,0
30-03-2022,M1 Room,1,9:44:33,0,1,0
